scenario,run,http_code,dns,connect,tls,ttfb,total,size_bytes
baseline-full,1,200,0.003174,0.108095,0.187619,0.404109,0.404577,26525
baseline-full,2,200,0.003394,0.038773,0.197827,0.387729,0.388633,26525
baseline-full,3,200,0.004376,0.038792,0.118080,0.339362,0.339922,26525
baseline-full,4,200,0.003659,0.043292,0.116288,0.311534,0.312904,26525
baseline-full,5,200,0.003060,0.119922,0.201127,0.386233,0.386925,26525
baseline-full,6,200,0.003158,0.038100,0.111632,0.304892,0.306434,26525
baseline-full,7,200,0.003030,0.038796,0.181653,0.463316,0.463771,26525
baseline-full,8,200,0.003731,0.037815,0.113965,0.302634,0.303179,26525
baseline-full,9,200,0.003285,0.118375,0.193404,0.390775,0.391361,26525
baseline-full,10,200,0.002756,0.036215,0.109538,0.299215,0.299883,26525
range-7d,1,200,0.003200,0.114898,0.192181,0.333360,0.333629,1132
range-7d,2,200,0.003315,0.039228,0.116909,0.274067,0.274311,1132
range-7d,3,200,0.003255,0.047299,0.122534,0.253423,0.253678,1132
range-7d,4,200,0.005421,1.058324,1.136932,1.281862,1.282026,1132
range-7d,5,200,0.004731,1.042095,1.122928,1.255854,1.256220,1132
range-7d,6,200,0.002684,0.060937,0.289366,0.418577,0.418851,1132
range-7d,7,200,0.003626,0.042131,0.124290,0.318384,0.318618,1132
range-7d,8,200,0.005745,0.036904,0.107255,0.237711,0.237986,1132
range-7d,9,200,0.004334,0.041324,0.119694,0.244321,0.244557,1132
range-7d,10,200,0.002812,0.038002,0.114439,0.241964,0.242224,1132
range-1m,1,200,0.004902,0.039635,0.111799,0.319116,0.319456,1132
range-1m,2,200,0.006554,0.040917,0.115335,0.272634,0.272909,1132
range-1m,3,200,0.003100,0.042722,0.193533,0.320621,0.320789,1132
range-1m,4,200,0.002291,0.037340,0.114662,0.253263,0.253513,1132
range-1m,5,200,0.003508,0.122626,0.205355,0.328485,0.328585,1132
range-1m,6,200,0.003075,0.036214,0.103747,0.272935,0.273074,1132
range-1m,7,200,0.003333,0.038198,0.111521,0.240157,0.240346,1132
range-1m,8,200,0.004820,0.039913,0.120146,0.250652,0.250826,1132
range-1m,9,200,0.003135,0.036441,0.115793,0.244614,0.244785,1132
range-1m,10,200,0.002858,0.035400,0.133772,0.352047,0.352278,1132
range-3m,1,200,0.002310,0.038037,0.118064,0.281731,0.281893,1132
range-3m,2,200,0.005596,0.037949,0.209288,0.377538,0.377714,1132
range-3m,3,200,0.003124,0.034996,0.107336,0.291276,0.291417,1132
range-3m,4,200,0.004477,0.037475,0.111256,0.641485,0.641748,1132
range-3m,5,200,0.004133,0.046181,0.119754,0.364814,0.365020,1132
range-3m,6,200,0.003229,0.040555,0.119276,0.281514,0.281628,1132
range-3m,7,200,0.002332,0.037968,0.210459,0.379444,0.379969,1132
range-3m,8,200,0.003136,0.042741,0.118258,0.320990,0.321328,1132
range-3m,9,200,0.003152,0.038277,0.112733,0.285134,0.285309,1132
range-3m,10,200,0.005819,0.040337,0.187109,0.332476,0.332737,1132
range-1y,1,200,0.003088,0.041940,0.121060,0.264570,0.264870,5643
range-1y,2,200,0.003498,0.050482,0.122630,0.258579,0.258761,5643
range-1y,3,200,0.003087,0.038233,0.110271,0.247267,0.247588,5643
range-1y,4,200,0.003148,0.038736,0.202858,0.459812,0.460025,5643
range-1y,5,200,0.002887,0.043005,0.115604,0.250911,0.251101,5643
range-1y,6,200,0.002900,0.035950,0.105643,0.242737,0.243037,5643
range-1y,7,200,0.003182,0.040570,0.118443,0.254329,0.254589,5643
range-1y,8,200,0.003344,0.039218,0.118593,0.262833,0.263107,5643
range-1y,9,200,0.002821,0.096890,0.346055,0.478990,0.479207,5643
range-1y,10,200,0.002618,0.049376,0.210753,0.344721,0.344982,5643
range-full,1,200,0.003546,0.042544,0.498717,0.693050,0.693762,26525
range-full,2,200,0.002570,0.100298,0.409435,0.599048,0.599591,26525
range-full,3,200,0.005740,0.040189,0.208494,0.523771,0.524443,26525
range-full,4,200,0.004176,0.289323,0.378023,0.562554,0.569491,26525
range-full,5,200,0.005861,0.094271,0.172495,0.364279,0.364683,26525
range-full,6,200,0.002503,0.035454,0.104699,0.295389,0.295924,26525
range-full,7,200,0.002646,0.091007,0.176712,0.408814,0.446844,26525
range-full,8,200,0.003698,0.038545,0.114560,0.303974,0.304427,26525
range-full,9,200,0.003146,0.121591,0.198695,0.353696,0.395560,26525
range-full,10,200,0.003251,0.039069,0.116080,0.308689,0.310125,26525
inc-sr,1,200,0.002649,0.111878,0.188717,0.330722,0.331013,22109
inc-sr,2,200,0.002256,0.037057,0.116924,0.287448,0.287748,22109
inc-sr,3,200,0.002882,0.035219,0.105992,0.236276,0.236739,22109
inc-sr,4,200,0.003331,0.038280,0.201682,0.344285,0.345646,22109
inc-sr,5,200,0.003104,0.036340,0.106357,0.246621,0.248833,22109
